family,k,rep,gain,wins
MV,2,50,-0.0023520110574765107,5
MV,2,51,-0.043608689219256425,6
MV,2,52,-0.06431667582298861,6
MV,2,53,-0.05896080160444972,6
MV,2,54,0.06265212886677185,4
MV,2,55,0.0030377732334724294,4
MV,2,56,-0.05985707370935045,6
MV,2,57,-0.06553418141269995,5
MV,2,58,0.01273656967610537,4
MV,2,59,-0.056536152590948796,5
MV,2,60,-0.06166403406512233,6
MV,2,61,0.0590858615932387,4
MV,2,62,-0.06985512790128634,6
MV,2,63,-0.01155249443471662,5
MV,2,64,-0.058717360964685716,5
MV,2,65,-0.07918402998341878,5
MV,2,66,-0.025474577017194355,6
MV,2,67,-0.058651494703475526,6
MV,2,68,-0.05692201802490715,6
MV,2,69,0.0006252484947891768,2
MV,2,70,-0.05303138186308265,5
MV,2,71,0.0039458717898032125,4
MV,2,72,0.009638004666834066,4
MV,2,73,0.011138996384990718,2
MV,2,74,0.00358388589309544,4
MV,2,75,-0.039067821330980745,6
MV,2,76,-0.04697686624726172,6
MV,2,77,-0.06397605707038134,6
MV,2,78,0.009923451621257406,4
MV,2,79,-0.04264581315839233,6
MV,2,80,-0.07946459470063061,5
MV,2,81,-0.011406931367607398,5
MV,2,82,-0.06841907006278158,6
MV,2,83,-0.052323478171307114,6
MV,2,84,-0.006861448129895198,6
MV,2,85,-0.049250999081554836,6
MV,2,86,-0.05798119884567865,6
MV,2,87,-0.04640545032515664,5
MV,2,88,0.0038710867554727635,4
MV,2,89,-0.045688610480515424,6
MV,2,90,-0.06133225723089053,6
MV,2,91,-0.05073011650952908,6
MV,2,92,0.013431773587711082,4
MV,2,93,0.01892044003115323,2
MV,2,94,0.008709354162790173,4
MV,2,95,0.007942969182786364,4
MV,2,96,-0.05619270125097631,6
MV,2,97,0.001141518429347177,4
MV,2,98,-1.1102230246251565e-16,2
MV,2,99,-0.05392580017108961,6
MV,3,0,-0.06045177616192188,6
MV,3,1,-0.08657662206636718,6
MV,3,2,-0.0027299360329475775,6
MV,3,3,0.01134893440040663,4
MV,3,4,-0.018902270254952946,5
MV,3,5,-0.05007660737966102,5
MV,3,6,-0.0374634174547821,6
MV,3,7,-0.03335886490704776,5
MV,3,8,0.04357219874124996,4
MV,3,9,-0.05567533002182268,6
MV,3,10,-0.01692054540020238,5
MV,3,11,-0.023093805782540833,6
MV,3,12,0.0071830867832272105,4
MV,3,13,0.00393082495368402,4
MV,3,14,-0.04386137997264461,5
MV,3,15,-0.04608164120473701,6
MV,3,16,-0.060981080462258364,6
MV,3,17,-0.01943386652108281,5
MV,3,18,-0.07118541651300736,6
MV,3,19,-0.08752124433847064,6
MV,3,20,0.02982860741149851,2
MV,3,21,-0.05049518937792907,5
MV,3,22,-0.06774272955644633,6
