member,family,sigma,rho,breakeven,ratio
MDP,other,10.706296861877416,0.49564083947962195,0.4890823963090912,1.0134096896965106
MT00,strong,8.023211745163811,0.7631287933552021,0.6526390541742583,1.1692968547840572
MT01,strong,7.943623249109451,0.7587842114721872,0.6591779545172337,1.1511067781808673
MT02,other,8.028641471162667,0.7684640812551194,0.6521976779771711,1.1782686556605895
MT03,other,7.993853742827808,0.7624233179000737,0.6550359180015713,1.163941238865385
MT05,other,8.055916626765404,0.7649076672773569,0.6499895129756281,1.176800012935036
MTL,other,9.236226013673958,0.6372313818607415,0.5669265040776807,1.1240105679967072
MU00,strong,7.493516552474464,0.7588404519116139,0.6987722370579702,1.0859625091954825
MU01,other,7.542332461265723,0.7538140283456682,0.6942496040442087,1.08579684302948
MU02,strong,7.426682121143237,0.7653492098082768,0.705060650151734,1.085508331295426
MU03,other,7.628030012551733,0.7713394068965469,0.686450016083756,1.123664343832477
MUL,lateral,8.435719287644758,0.640291953976019,0.6207249371695804,1.031522846328136
NB1,other,11.369545334754791,0.4477305701489607,0.46055151465003075,0.9721617580373988
NB2,other,11.32253616911543,0.4634151888056299,0.46246364300310216,1.00205755807386
NB3,other,11.226988924925823,0.4518794365692992,0.46639943798092826,0.9688678839869811
NB5,other,11.513590466820371,0.4424576167884142,0.4547896105817955,0.9728841787357336
NC1201,other,6.575448953989382,0.8216294037423647,0.7963351797639041,1.0317632884006955
NC201,other,7.22926643161216,0.7481156217450842,0.7243143373311529,1.032860435293371
NC401,other,7.048185908648438,0.7741717139853613,0.7429232702812768,1.0420614684639689
NC401L,other,10.427212847657945,0.4996590635178777,0.5021726708091152,0.9949945358691314
NC401b,other,6.094481906363667,0.8659290131259456,0.8591807154823071,1.0078543402127575
NC601,other,6.426411749811714,0.8458425641132121,0.8148032725971731,1.0380942155731674
NV101,other,6.525130556083816,0.8088631221079933,0.8024761006385371,1.0079591422901866
NV301,other,6.096359225736189,0.8623121820585967,0.8589161384549456,1.0039538709911309
NV401,other,6.099512934004887,0.8620074358802337,0.8584720421873795,1.0041182397551889
P00,lateral,10.738111253848446,0.49837339791428104,0.48763336503213073,1.0220248113691783
P00i,other,5.940499314304858,0.857793108108175,0.8814513810639576,0.9731598662569161
P01i,other,7.076050800624632,0.795482105679814,0.7399977010257309,1.0749791581476196
Q00,strong,6.400981373067516,0.8139617194803824,0.8180403940613497,0.995014091467149
Q00L,lateral,10.076679424593337,0.5012294436101673,0.5196415509680491,0.9645676768465078
Q01,strong,9.816267481824736,0.5525656581180696,0.5334269196004169,1.0358788389082225
Q01L,lateral,10.917862753674468,0.45143606410744325,0.47960497791027984,0.9412664273720149
RN001,other,6.791407071140871,0.7933357696258238,0.7710127327007485,1.0289528771423537
RN004,other,8.13050637943672,0.6752544884282348,0.6440264702389025,1.0484887184493337
RN008,other,8.838752216837575,0.6324979386886505,0.5924208752937523,1.0676496475162627
RN016,other,9.77725198592272,0.5781913932418441,0.5355555254526195,1.079610545989963
S3A,other,7.1983452631455025,0.7488922852631207,0.7274256976269836,1.029510350962532
S3B,other,7.227023888423276,0.7507154764613059,0.724539091837139,1.0361283261580738
S40,other,7.0680816789048695,0.7805750169992367,0.7408320337371679,1.0536464157220404
S45,other,7.888751976051552,0.6553844989590342,0.6637629552430604,0.9873773367166021
S50,other,7.985536893015385,0.6538013869420823,0.6557181307851009,0.9970768783826007
S60,other,8.15237645154451,0.6453798745478947,0.6422987647744692,1.0047970040460958
SB10,other,6.462037795476609,0.8280733229664086,0.8103111573362918,1.0219201790192618
SB14,other,7.271259900503933,0.7617100767954236,0.7201312284877359,1.057737877018613
SB20,other,7.521894754869409,0.7345930243701589,0.6961359465198232,1.055243631711009
SB8,other,6.270429742588777,0.8593922786051941,0.8350721624769684,1.029123370675042
T00,strong,9.816267481824736,0.5525656581180696,0.5334269196004169,1.0358788389082225
T00L,lateral,10.917862753674468,0.45143606410744325,0.47960497791027984,0.9412664273720149
T01,strong,7.144751251789125,0.8041137674960942,0.7328822432400697,1.0971936827683397
T01L,lateral,10.743494444666077,0.5344912433891705,0.4873890289395743,1.0966419259622602
T02,strong,6.8765822440502244,0.6917319787590437,0.7614627643454774,0.9084252193915595
T02L,lateral,12.09709049639775,0.41514610245800404,0.43285295140701435,0.959092692122225
T03,strong,6.478067207174961,0.7526121472329371,0.8083061131264501,0.9310979281375295
T03L,lateral,10.531180972163952,0.4631061580406393,0.49721501687645586,0.9314001836668347
T04,other,7.325947311196075,0.7808603911083163,0.7147555261284849,1.0924859795598814
T04L,other,11.044432004321182,0.5229411880637771,0.4741087022632581,1.1029985013297727
T05,other,9.851931911888476,0.5496683243855727,0.5314958905151216,1.0341911088961355
T05L,other,10.620204861890953,0.470981638175915,0.49304711094538917,0.9552467253541657
T06,other,10.129174041520136,0.5416290020473454,0.5169484997828785,1.0477426712232125
T06L,other,11.439946629228825,0.44437735826715563,0.457717286147557,0.9708555296377841
T07,other,9.846424662400093,0.5451195576523891,0.5317931639490305,1.025059355040216
T07L,other,10.608659038669568,0.4631206477311811,0.4935837136170407,0.938281865779925
TP05,other,6.449237121768643,0.8101666824812992,0.8119194915518185,0.9978411540937769
TP07,other,6.135683444457612,0.8521436577426529,0.8534112576380463,0.9985146670095475
TP15,other,6.241018966855693,0.8593266447509145,0.839007436543909,1.0242181503071124
TP25,other,7.505623307820557,0.7639802486307385,0.6976451002207287,1.0950843751199888
TP40,other,7.670415818126538,0.7355255154624457,0.6826567749338055,1.0774455663078517
U00,other,6.3329188449387495,0.819616457848575,0.8268322163939169,0.9912730075071189
U01,other,6.792362164709632,0.7664798116095812,0.7709043183841119,0.9942606278509312
U02,other,6.145691103085238,0.8646952000632714,0.852021560630475,1.0148747872335746
U03,other,6.314660271595954,0.835104040883604,0.8292229668089663,1.0070922710899692
U30,other,10.652322906649216,0.48525983588745053,0.4915605141424147,0.9871822937894911
UP120,other,6.058067438093439,0.8701212211372442,0.8643451691999382,1.006682575599575
UP20,other,6.232031887673899,0.8573217538516392,0.8402173511275053,1.0203571167641101
UP40,other,6.064664042827138,0.8675874042062722,0.8634050110321602,1.004844068682335
V00,other,6.087276037932639,0.8688596675033902,0.8601977784766024,1.0100696482175622
V01,strong,7.37137633077079,0.6884040777473703,0.7103505627497896,0.9691047123022417
V02,strong,6.066917881347344,0.869763147644189,0.8630842591264214,1.007738396856557
V03,strong,6.0702726986414595,0.869825237792258,0.8626072640814633,1.0083676245394022
V12,other,7.842623645972318,0.7116181110806842,0.6676670411811308,1.0658278261299257
V45,other,9.043820862991504,0.5690269478659364,0.5789877314168147,0.9827962096424674
VB1,strong,6.5891730454389785,0.7196414673135172,0.7946765532934436,0.905577828276231
VL,lateral,7.526950602141255,0.6787732881113261,0.6956683525083726,0.9757139097443086
W00,other,6.99838139531288,0.8128560396045673,0.7482103402238782,1.0864004356867694
W01,other,7.213766297259452,0.8334671618649161,0.7258706629840217,1.1482309512807283
W02,other,7.245734425793531,0.8275828164686304,0.7226681268034538,1.1451768602681305
W03,other,7.947539359138188,0.7455300341808839,0.6588531478970011,1.1315572165975794
XB0,other,9.102368182660781,0.5439890751332467,0.5752636258746523,0.9456344024987594
XBL,other,10.976153867639525,0.4871577519920937,0.4770579374111483,1.0211710439946855
XBN,other,10.900131887307328,0.49023834579434966,0.48038513468822164,1.0205110657983265
Y10,other,8.167579891615393,0.6750403633124342,0.6411031657221876,1.0529356262841365
Z00,strong,6.06678885736615,0.8691305644052342,0.8631026145645017,1.0069840477123038
Z01,strong,6.068307693551091,0.8690677901703724,0.8628865886889993,1.0071633996430103
ZG2,other,7.304542602185184,0.7804104975675598,0.7168499945824207,1.0886663925026103
ZG3,other,8.171941749944075,0.7400099362535765,0.6407609702846138,1.1548923398453532
ZK10,other,16.524070851847096,0.37328453359903524,0.3168868840947986,1.1779740731944115
ZK5,other,8.098944833210743,0.7445411387048364,0.6465362380703671,1.1515845437016365
ZK8,other,11.268775305126475,0.572827368090987,0.46466995596419347,1.2327617930502224
ZK8L,other,11.198700692375857,0.5162717225739776,0.46757757606365785,1.104141321147724
bb25,other,10.189435688501094,0.5491418302066134,0.513891199167457,1.0685955141793928
g30_035,other,11.402326913599289,0.4853938341641291,0.45922743353011075,1.0569791757275377
g30_05,other,11.053993399833937,0.5237053280663805,0.47369861147937486,1.105566525582233
g30_065,other,10.911351779640954,0.5240641192720403,0.4798911656916457,1.0920478573860182
g40_035,other,11.044179127510494,0.524997617790746,0.4741195578547116,1.1073106120452965
xr45,other,11.053993399833937,0.5237053280663805,0.47369861147937486,1.105566525582233
L_mt12_3000_030,lateral,8.49907709605741,0.6382519207146056,0.6160976380873789,1.035959044894252
L_mt25_3000_020,lateral,8.50556606737859,0.6187362715056234,0.6156276117689745,1.005049578149551
DS00,other,7.518214664910702,0.7682406286470005,0.6964766980174679,1.1030385235196092
L_mt25_3000_030,lateral,8.631085798589499,0.615995711306378,0.6066746927320807,1.0153641130674518
DS01,other,7.607935648148736,0.768588691313742,0.6882630935604281,1.1167076928936934
DS02,other,7.426682121143237,0.7653492098082768,0.705060650151734,1.085508331295426
DS03,other,7.628030012551733,0.7713394068965469,0.686450016083756,1.123664343832477
DS04,other,7.4866212435280834,0.766074045352759,0.6994158184949013,1.0953055751602845
DS05,other,7.539395217301165,0.7471532593306557,0.694520074075372,1.0757835334354522
L_mt60_4000_015,other,9.246411140746162,0.6393075161708918,0.5663020219519416,1.1289161814526343
W2level,lateral,8.752629357510925,0.6071098905139461,0.5982500927347162,1.0148095217816517
W2z,lateral,8.491725771564282,0.6196627699790327,0.6166309965328668,1.0049166737695845
LD500,lateral,8.45333401756959,0.6231614905273553,0.6194314945937724,1.0060216439850689
W2none,lateral,8.608786389681477,0.6077650026389652,0.6082461670880477,0.9992089313914034
LD1000,other,8.628189396834205,0.6166940537880177,0.6068783477011715,1.016174091766542
W2c2,lateral,8.446036568313055,0.6143575372029642,0.6199666888074296,0.9909524951812246
W2c20,other,8.446036568313055,0.6143575372029642,0.6199666888074296,0.9909524951812246
F_mt12_3000_015,lateral,8.742554080788043,0.6126724383916393,0.5989395405983603,1.0229286878932045
LD2000,lateral,8.685179000983862,0.6139290759487604,0.6028961894982641,1.018299811215722
SP_sC,other,6.330914556605619,0.8056536221690382,0.8270939811278991,0.9740774815824159
G_mt12_1500,lateral,8.483648169331778,0.627141082432078,0.6172181142226634,1.0160769231828393
G_mt12_2500,lateral,8.618941961165056,0.608744635914933,0.6075294796503891,1.0020001601654676
G_mt12_5000,lateral,8.726662146999745,0.6172598826680435,0.6000302563109715,1.0287145959322135
G_mt25_1500,lateral,8.5400660164394,0.615801274280549,0.613140614454718,1.004339395830428
KB1_mt12,lateral,8.78029345875636,0.6079092273452296,0.5963651840795278,1.019357339385128
SP_mt12,strong,7.493516552474464,0.7588404519116139,0.6987722370579702,1.0859625091954825
SP_mt12L,lateral,8.742554080788043,0.6126724383916393,0.5989395405983603,1.0229286878932045
SP_mt25,other,7.518214664910702,0.7682406286470005,0.6964766980174679,1.1030385235196092
SP_mt25L,lateral,8.446036568313055,0.6143575372029642,0.6199666888074296,0.9909524951812246
LS4a,other,8.799781131909445,0.6139230333624636,0.5950444955745514,1.0317262623691423
LS4b,other,8.720907734683156,0.6323029150482735,0.6004261808640442,1.0530901802755455
LSP,other,8.729808359251638,0.6123805197246093,0.5998140061407244,1.0209506838040334
IM30,other,8.695598724575595,0.612834762448441,0.6021737537180427,1.0177042069080118
LS8a,other,8.661106451209722,0.6202400722029925,0.6045718701531657,1.0259161942911061
LS8b,other,8.55081940674659,0.6267594985804827,0.6123695374354536,1.0234988193653345
IM15,other,8.558794227941611,0.6234526259660933,0.6117989503368199,1.0190482112185018
ENET,other,14.875981859054205,0.4055411191435882,0.35199433384738105,1.152123997880671
IM30W,lateral,8.715301888293107,0.5997332752691987,0.6008123862969287,0.9982039134805776
IR_S40,lateral,8.790998801741216,0.6007454397819787,0.5956389533082833,1.008573123777975
WB35,lateral,9.100083407304638,0.5671712440569429,0.5754080584140979,0.9856852641586966
DV_fi,other,9.613369507540698,0.5548922819374646,0.5446853281459952,1.0187391751971948
GH10,lateral,8.659655186655083,0.5994121170800967,0.6046731898601255,0.9912993119783501
IMK,strong,7.756700530518418,0.7257379399536529,0.6750629735158211,1.0750670210423623
IR_SK,strong,7.948289799957824,0.7164055821436656,0.6587909420252008,1.0874551188292763
VG12,lateral,8.760449769611794,0.6091265044451114,0.597716037704711,1.0190901130647552
VG06,other,8.777944213042023,0.609283201828329,0.5965247895997813,1.0213878994653476
