w,rmsB,rmsP,move,n,gain
95,3.0984526859202473,1.6186714191981566,1.9223986345787822,4231,-1.4797812667220906
96,4.647290559515865,1.732075250990359,2.845648399030455,4583,-2.9152153085255055
97,4.485462251017847,7.177216251174318,3.062635497934787,3072,2.6917540001564717
98,2.33788622309457,1.313324320672634,1.9464748944323482,4201,-1.0245619024219361
99,9.516511685332615,3.914505000424348,6.445119319333139,5118,-5.602006684908267
100,4.433317960248094,7.379816761276932,3.6231403900073444,4711,2.946498801028838
101,3.9809099039218196,1.4783358125474417,3.278192777097909,5649,-2.502574091374378
102,3.3982757744111662,2.618651289654851,3.2720093265147683,7376,-0.7796244847563152
103,2.4543974838370164,1.9248186749321636,1.427832502352394,5069,-0.5295788089048528
104,4.060706663509911,1.346348088161625,2.4147201389071857,5659,-2.7143585753482857
105,6.890214610926885,4.800824213971473,2.4837284687204906,4988,-2.0893903969554124
106,4.591397326923635,2.103849889531138,3.0818426986191305,6858,-2.4875474373924966
107,2.4323232025865287,1.2054843236739383,1.4908455525847288,4727,-1.2268388789125904
108,2.495668751862433,2.20202012968449,1.2143665771773644,3892,-0.2936486221779431
109,5.017447259110324,0.9656263253117401,4.069598705635155,3723,-4.051820933798584
110,2.2845079197478566,1.94219623030308,1.8978770836153283,4282,-0.34231168944477663
111,2.689437463984507,3.877429787766831,2.9086237198473355,3279,1.187992323782324
112,6.966123402824747,4.378116576356603,9.253914738507495,3720,-2.5880068264681446
113,1.1725953378120146,1.0232860146126244,0.6589719606522005,4357,-0.14930932319939028
114,9.164648732225663,3.926396892071587,5.695670672961813,6041,-5.238251840154076
115,3.8487858632398004,9.496992102211289,4.463920870088092,3256,5.648206238971488
116,2.2645877110933115,1.6333136209135746,1.1437042966715845,3649,-0.6312740901797369
117,8.248119168498134,1.4528758459793987,6.003768115752998,4460,-6.7952433225187345
118,6.535411659604934,2.3068280338570304,3.9653808501955328,6197,-4.228583625747904
119,3.4275927314035,2.452537089326284,4.6431220596118825,8226,-0.9750556420772161
120,5.675588159808757,2.022227420356671,2.6088132838410925,4449,-3.653360739452086
121,3.952198365547846,1.9780094185890398,1.6549149234883016,3606,-1.974188946958806
122,6.769824716587677,2.764367158937719,6.274634432927201,4406,-4.005457557649958
123,6.017098140367939,1.7490327924875022,4.9164691049854365,5952,-4.268065347880437
124,5.1580749012450156,5.610499217342042,2.3308714355806517,2917,0.4524243160970265
125,2.125052833069088,4.139939720857755,1.7250055496798113,3991,2.0148868877886668
126,8.371946615453265,1.4235160176912034,6.730060011498452,3872,-6.948430597762061
127,2.6715153293788236,3.4089792875949994,1.0478897862384855,2588,0.7374639582161757
128,2.692689127831308,0.8456036564021193,2.36761085954065,5015,-1.8470854714291884
129,3.183639428721053,5.533493611879792,5.515081364508079,5809,2.349854183158739
130,4.259557287998608,3.2640939190094467,1.5807682924287965,3106,-0.9954633689891614
131,6.086812707135314,6.36401909270331,1.2113784549378246,7312,0.2772063855679958
132,2.4692027287508527,1.1939392869782983,1.6973913661477444,5392,-1.2752634417725544
133,6.354568415294843,3.8469029696818384,3.2097278248170573,4489,-2.507665445613005
134,3.105104766067186,1.0642373655141137,1.8571869877506257,4472,-2.040867400553072
135,9.384189791867874,5.17175944668961,3.5311004233563406,4697,-4.212430345178263
136,3.4705517314881846,1.5888715022437312,2.4002873052716134,5162,-1.8816802292444534
137,6.177163796354545,5.104355240701029,1.3625330966140587,5645,-1.0728085556535163
138,3.317733270727452,1.0705531837844475,2.403761649090407,5460,-2.2471800869430045
139,4.095761456260051,0.5056925333632064,3.532587688747066,6287,-3.5900689228968443
140,6.061998941873084,4.356226641606834,1.8509399184062476,6367,-1.7057723002662506
141,2.4241660368925886,1.5898977245181805,1.972107805068996,3821,-0.8342683123744081
142,5.390556471716471,6.616788115241903,2.879212398997342,6645,1.2262316435254315
143,5.110928852656508,5.669454365275273,4.232997433917615,5200,0.5585255126187647
144,2.3115938163908076,1.3865620371743521,2.6079387984098905,3274,-0.9250317792164555
145,12.87746276748968,2.490412368124043,8.868094445445788,4442,-10.387050399365638
146,10.606886008078314,5.964623092092337,7.101630538940936,4898,-4.642262915985977
147,11.08167695962733,2.732166183331869,9.641161984015834,5126,-8.34951077629546
148,2.2222679657786473,2.247253339499556,1.0082188522924327,5255,0.02498537372090892
149,3.604765658820331,1.7844466963290877,2.4535199092331212,8550,-1.8203189624912435
150,14.511114610770589,7.377817864690093,6.962660932380424,4026,-7.133296746080496
