family,n,rep,gain,wins
strong,6,19,0.1337783315475597,2
strong,6,20,0.15949737198289526,1
strong,6,21,0.1276394712942216,1
strong,6,22,0.12822499512313723,1
strong,6,23,0.22960973176819766,1
strong,6,24,0.11317358388401444,0
strong,6,25,0.018169637445770714,4
strong,6,26,0.01760729881664458,3
strong,6,27,0.23449169033956418,0
strong,6,28,0.1412336573915729,0
strong,6,29,0.07458705489322137,1
strong,6,30,-0.06843019953952101,6
strong,6,31,0.09025703140449415,1
strong,6,32,0.11606863378385257,0
strong,6,33,0.03533898490608944,2
strong,6,34,0.23495320277395293,0
strong,6,35,0.03375992255357074,3
strong,6,36,0.27699126208133706,0
strong,6,37,0.20633846222433705,0
strong,6,38,0.031163508404641438,1
strong,6,39,-0.007402504894638895,5
strong,6,40,0.022026930732439776,4
strong,6,41,0.039389417202606136,2
strong,6,42,0.23705738949560273,0
strong,6,43,0.19759196975969207,0
strong,6,44,0.03578520235553129,3
strong,6,45,-0.03119062750889845,6
strong,6,46,0.16734547613495476,0
strong,6,47,0.03531236876646038,2
strong,6,48,0.2535388139547837,0
strong,6,49,0.04364904123793101,2
strong,6,50,0.21322177221930272,0
strong,6,51,0.01910602917150339,3
strong,6,52,0.12465352467774271,0
strong,6,53,0.023080955340612386,4
strong,6,54,0.001518695872841258,4
strong,6,55,0.06113981808539848,1
strong,6,56,0.08357972599363661,1
strong,6,57,0.40132685229954257,1
strong,6,58,0.06896356699806416,2
strong,6,59,-0.025516224849321922,4
strong,6,60,0.17648078272073675,0
strong,6,61,0.10551976891721826,2
strong,6,62,0.15644454670691033,0
strong,6,63,0.08207272068922544,1
strong,6,64,0.022488313061820753,2
strong,6,65,0.19311464124093058,0
strong,6,66,0.14704803307991554,1
strong,6,67,0.07307969252744029,2
strong,6,68,0.1383284081250047,1
strong,6,69,0.09650762609139085,1
strong,6,70,-0.028806512010554175,5
strong,6,71,0.04746022945183681,1
strong,6,72,0.1358263351075495,0
strong,6,73,0.1133482417447319,0
strong,6,74,-0.0009036874963153085,6
strong,6,75,0.1524914565902249,2
strong,6,76,-0.011577352138613217,3
strong,6,77,0.024212333209528314,4
strong,6,78,-0.016806993190911168,4
strong,6,79,0.07213356912744717,1
strong,6,80,0.23671769042689206,0
strong,6,81,0.10919706882852087,1
strong,6,82,0.05020363528114724,2
strong,6,83,0.06388751091161649,4
strong,6,84,0.17241122445666845,0
strong,6,85,0.1906016920401109,0
strong,6,86,0.09155009274688775,1
strong,6,87,0.013988451754766484,2
